name,line,date
Бульвар Рокоссовского,Сокольническая линия,01.08.1990
Черкизовская,Сокольническая линия,01.08.1990
Преображенская площадь,Сокольническая линия,31.12.1965
Сокольники,Сокольническая линия,15.05.1935
Красносельская,Сокольническая линия,15.05.1935
Комсомольская,Сокольническая линия,15.05.1935
Красные ворота,Сокольническая линия,15.05.1935
Чистые пруды,Сокольническая линия,15.05.1935
Лубянка,Сокольническая линия,15.05.1935
Охотный ряд,Сокольническая линия,15.05.1935
Библиотека имени Ленина,Сокольническая линия,15.05.1935
Кропоткинская,Сокольническая линия,15.05.1935
Парк Культуры,Сокольническая линия,15.05.1935
Фрунзенская,Сокольническая линия,01.05.1957
Спортивная,Сокольническая линия,01.05.1957
